cod_negociacao,count
XTED11,104
AALR3F,104
AAPL34,104
ADHM3,104
AEFI11,104
AGCX11,104
MILS3F,104
MILS3,104
MNDL3F,104
MDIA3F,104
MDIA3,104
MGLU3F,104
MGLU3,104
MGEL4,104
MMXM3F,104
MMXM3,104
MRVE3,104
MRFG3F,104
MRFG3,104
VALE3,104
BRML3F,104
BRML3,104
ATOM3F,104
ATOM3,104
ARZZ3F,104
ARZZ3,104
ANIM3F,104
ANIM3,104
AMZO34F,104
DIVO11F,104
DIVO11,104
VVAR3,104
DTEX3F,104
AMAR3F,104
BRKM5T,104
BRKM5F,104
BRKM5,104
BRKM3,104
BRPR3F,104
BRPR3,104
DTEX3,104
VLID3F,104
VLID3,104
WEGE3F,104
WEGE3,104
VALE3F,104
ELET3F,104
USIM3,104
BTOW3F,104
BTOW3,104
BSEV3F,104
BSEV3,104
BBVJ11,104
VULC3,104
VRTA11,104
VLOL11,104
ECOR3F,104
ECOR3,104
BRSR6F,104
BRSR6,104
BEES3,104
UCAS3,104
UNIP6F,104
UNIP6,104
USIM5T,104
USIM5F,104
USIM5,104
USIM3F,104
ECOO11,104
EGIE3F,104
EGIE3,104
ELET6F,104
ELET6,104
TRPN3,104
TRPL4F,104
TRPL4,104
TRIS3,104
TUPY3F,104
TUPY3,104
BRIV4,104
UGPA3F,104
UGPA3,104
ELET3,104
BEEF3F,104
BEEF3,104
BCRI11,104
BEES3F,104
BMEB4,104
ENBR3F,104
TPIS3F,104
TPIS3,104
TOTS3F,104
TOTS3,104
BEES4,104
EMBR3F,104
EMBR3,104
VIVR3F,104
VIVR3,104
EMAE4,104
TRXL11,104
MPLU3F,104
MPLU3,104
MRVE3F,104
BBDC3F,104
BBDC3,104
MBRF11,104
MATB11,104
MAGG3F,104
MAGG3,104
MEAL3F,104
MEAL3,104
MTSA4,104
MSFT34F,104
MSFT34,104
TGMA3F,104
TGMA3,104
TIMP3F,104
TIMP3,104
TIET4F,104
TIET4,104
BBAS3T,104
BBAS3F,104
BBAS3,104
BIIB34F,104
VIVT4F,104
VIVT4,104
VIVT3F,104
VIVT3,104
TCNO3,104
TBOF11,104
TELB4F,104
TELB4,104
TESA3F,104
TESA3,104
TIET3F,104
TIET3,104
TIET11F,104
TIET11,104
ENBR3,104
BOAC34,104
BMLC11B,104
ENGI11,104
ESTC3F,104
ESTC3,104
EVEN3,104
ENEV3F,104
ENEV3,104
EQTL3F,104
EQTL3,104
ENGI11F,104
BMIN4F,104
BOVA11F,104
TECN3,104
TCSA3F,104
TCSA3,104
TCNO4,104
SMTO3F,104
SMTO3,104
SPXI11,104
SPTW11,104
SULA11F,104
SULA11,104
STBP3F,104
STBP3,104
SSBR3F,104
SSBR3,104
TAEE11F,104
TAEE11,104
BOVA11,104
BOBR4,104
SLCE3F,104
SLCE3,104
SHUL4,104
SHPH11,104
EURO11,104
EUCA4,104
ETER3F,104
ETER3,104
FAMB11B,104
EZTC3F,104
EZTC3,104
EXXO34,104
EVEN3F,104
SNSL3F,104
SNSL3,104
SEER3,104
SEDU3,104
SDIL11,104
SMAL11F,104
FBOK34F,104
FIBR3,104
FHER3F,104
FHER3,104
FFCI11,104
FESA4F,104
FESA4,104
SMAL11,104
SLED4F,104
SLED4,104
SLCE3T,104
CTXT11,104
FIBR3F,104
CYRE3F,104
CYRE3,104
CXRI11,104
FLMA11,104
FJTA4F,104
FJTA4,104
FJTA3,104
SBUB34,104
SBSP3F,104
SHOW3F,104
SHOW3,104
SGPS3F,104
SGPS3,104
SEER3F,104
FRAS3F,104
FRAS3,104
FPAB11,104
SANB11F,104
SBSP3,104
SAPR4F,104
SAPR4,104
SCAR3F,104
SCAR3,104
FIXX11,104
FIND11,104
FIIP11B,104
FIIB11,104
FIGS11,104
CVCB3F,104
CVCB3,104
ROMI3,104
RNGO11,104
SANB11,104
SAAG11,104
RSID3F,104
RSID3,104
RPMG3F,104
RPMG3,104
SANB4F,104
SANB4,104
SANB3F,104
SANB3,104
FNOR11,104
FNAM11,104
FLRY3F,104
FLRY3,104
RAPT4F,104
RDNI3,104
RCSL4F,104
RCSL4,104
RENT3F,104
RENT3,104
BRFS3T,104
RNEW11,104
RNDP11,104
RLOG3F,104
RLOG3,104
ROMI3F,104
MXRF11,104
MULT3F,104
MULT3,104
NATU3F,104
LREN3,104
LPSB3F,104
LPSB3,104
LOGN3F,104
LOGN3,104
LUPA3F,104
LUPA3,104
BBDC4T,104
BBDC4F,104
